CODE,NAME,AGES_0-14,AGES_15-64,AGES_65P,AGES_W_15-49,AGES_0,AGES_1-4,AGES_5-9,AGES_10-14,AGES_15-19,AGES_20-24,AGES_25-29,AGES_30-34,AGES_35-39,AGES_40-44,AGES_45-49,AGES_50-54,AGES_55-59,AGES_60-64,AGES_65-69,AGES_70-74,AGES_75-79,AGES_80-84,AGES_85P
620902,肃州区,0.1448,0.7292,0.126,0.2407,0.0088,0.0432,0.0444,0.0483,0.0562,0.0493,0.0659,0.0877,0.0646,0.0644,0.0975,0.1111,0.0856,0.0469,0.0521,0.0343,0.0214,0.0129,0.0054
620921,金塔县,0.125,0.7312,0.1438,0.1972,0.0063,0.0317,0.0363,0.0508,0.0499,0.0426,0.0513,0.0684,0.0564,0.0686,0.1158,0.1326,0.0948,0.0508,0.0589,0.0435,0.0257,0.0116,0.0041
620922,瓜州县,0.1777,0.7191,0.1031,0.2243,0.0101,0.0489,0.0589,0.0598,0.0479,0.0439,0.0694,0.0857,0.0613,0.0614,0.0999,0.1156,0.0878,0.0463,0.0445,0.0288,0.0177,0.0085,0.0035
620923,肃北蒙古族自治县,0.1112,0.8124,0.0765,0.2048,0.0074,0.0307,0.0373,0.0358,0.0262,0.0464,0.0878,0.104,0.0821,0.0885,0.1337,0.1254,0.0802,0.0382,0.0331,0.0221,0.0105,0.0069,0.004
620924,阿克塞哈萨克族自治县,0.1817,0.7447,0.0737,0.2403,0.0101,0.0544,0.0594,0.0577,0.0305,0.0491,0.0768,0.1057,0.0918,0.0887,0.1059,0.0948,0.0604,0.0408,0.0355,0.0192,0.01,0.0067,0.0023
620981,玉门市,0.1677,0.7265,0.1058,0.2159,0.0096,0.0471,0.0533,0.0577,0.0468,0.0463,0.0666,0.0812,0.0594,0.0622,0.1068,0.1264,0.0868,0.0438,0.0431,0.0307,0.0196,0.0091,0.0033
620982,敦煌市,0.1485,0.7299,0.1215,0.2336,0.0084,0.0422,0.0477,0.0503,0.0464,0.0415,0.0606,0.0861,0.0686,0.0664,0.1049,0.1144,0.0873,0.0537,0.0545,0.0325,0.0192,0.0108,0.0045
621002,西峰区,0.2112,0.6929,0.0958,0.2557,0.0108,0.0573,0.0761,0.067,0.0606,0.0554,0.0744,0.1112,0.0758,0.0585,0.0737,0.0836,0.0625,0.0372,0.0377,0.0252,0.0178,0.0104,0.0048
621021,庆城县,0.2099,0.6747,0.1154,0.2085,0.0114,0.054,0.0771,0.0673,0.0387,0.0356,0.0679,0.0971,0.0663,0.0553,0.0826,0.1032,0.0803,0.0476,0.0442,0.0319,0.0224,0.012,0.0049
621022,环县,0.2092,0.6711,0.1198,0.2117,0.0111,0.0553,0.0735,0.0692,0.0488,0.0393,0.0712,0.0879,0.066,0.0567,0.0788,0.097,0.0736,0.0518,0.047,0.0326,0.0232,0.0121,0.0048
621023,华池县,0.2171,0.6723,0.1106,0.2063,0.0124,0.0575,0.0745,0.0727,0.0431,0.035,0.0668,0.0944,0.0712,0.0578,0.0673,0.0968,0.083,0.0568,0.0423,0.0289,0.0217,0.0125,0.0054
621024,合水县,0.2276,0.642,0.1305,0.1951,0.0118,0.0573,0.0834,0.075,0.0384,0.0301,0.0605,0.0869,0.0558,0.0519,0.0803,0.106,0.0812,0.0508,0.0493,0.0351,0.0265,0.014,0.0056
621025,正宁县,0.2386,0.6182,0.1432,0.1901,0.0107,0.0573,0.0881,0.0825,0.0367,0.0315,0.0555,0.0737,0.0568,0.0504,0.0793,0.0964,0.0807,0.0571,0.0511,0.0395,0.0286,0.0172,0.0068
621026,宁县,0.2244,0.6078,0.1679,0.1798,0.0104,0.054,0.0814,0.0786,0.0488,0.0327,0.0508,0.0618,0.0489,0.0433,0.0732,0.0997,0.0858,0.0627,0.0593,0.0469,0.0338,0.0195,0.0083
621027,镇原县,0.2199,0.6173,0.1628,0.1903,0.0099,0.0513,0.0775,0.0812,0.0545,0.0323,0.0478,0.0654,0.0492,0.0486,0.078,0.107,0.084,0.0507,0.0594,0.0447,0.0329,0.0181,0.0078
621102,安定区,0.1794,0.6752,0.1455,0.2202,0.0115,0.0601,0.0606,0.0472,0.0425,0.0425,0.0696,0.0804,0.0547,0.0558,0.093,0.1062,0.0824,0.048,0.0535,0.0399,0.0277,0.0165,0.0078
621121,通渭县,0.1639,0.6732,0.1629,0.2148,0.0103,0.052,0.0546,0.047,0.0504,0.0582,0.0727,0.0665,0.0492,0.0514,0.0974,0.1098,0.0791,0.0386,0.0575,0.0454,0.0319,0.0187,0.0094
621122,陇西县,0.216,0.6477,0.1363,0.2132,0.0112,0.0613,0.0785,0.0649,0.0436,0.0362,0.0633,0.0723,0.0545,0.0558,0.0975,0.1071,0.0765,0.0411,0.05,0.0394,0.0249,0.0146,0.0074
621123,渭源县,0.1787,0.6808,0.1405,0.2101,0.0099,0.0529,0.0621,0.0537,0.0467,0.0407,0.0611,0.0677,0.0513,0.0576,0.1011,0.1201,0.0872,0.0471,0.0539,0.0415,0.0255,0.0139,0.0058
621124,临洮县,0.1977,0.6669,0.1354,0.2134,0.0105,0.0585,0.0695,0.0592,0.0422,0.0338,0.0658,0.0807,0.0628,0.059,0.0866,0.1019,0.081,0.0531,0.0527,0.0394,0.0253,0.0127,0.0053
621125,漳县,0.2343,0.6474,0.1183,0.2202,0.0116,0.0687,0.0875,0.0665,0.0527,0.0476,0.0735,0.0814,0.0549,0.047,0.0842,0.103,0.068,0.0351,0.0443,0.0345,0.022,0.012,0.0055
621126,岷县,0.2354,0.6637,0.101,0.2263,0.0105,0.0611,0.0832,0.0805,0.0584,0.0473,0.0677,0.0693,0.0588,0.0615,0.0939,0.0987,0.0687,0.0393,0.0405,0.0305,0.0174,0.0091,0.0035
621202,武都区,0.2202,0.6573,0.1226,0.2299,0.0112,0.0589,0.0804,0.0697,0.0521,0.0433,0.0761,0.0838,0.0571,0.0586,0.0918,0.0961,0.0637,0.0347,0.0406,0.0352,0.0262,0.0139,0.0067
621221,成县,0.2199,0.6686,0.1115,0.2383,0.011,0.0577,0.0785,0.0727,0.0544,0.0478,0.0671,0.0778,0.0655,0.0591,0.0947,0.0944,0.0674,0.0404,0.0424,0.0318,0.0209,0.0111,0.0052
621222,文县,0.1862,0.6713,0.1425,0.2192,0.0107,0.0525,0.065,0.0579,0.0431,0.0375,0.0625,0.0771,0.058,0.067,0.1016,0.1084,0.0721,0.0439,0.0485,0.0382,0.0287,0.0188,0.0083
621223,宕昌县,0.2056,0.6698,0.1246,0.2177,0.0093,0.052,0.0726,0.0717,0.0536,0.0503,0.0703,0.073,0.0518,0.0569,0.0967,0.1122,0.0678,0.0372,0.0455,0.0383,0.0235,0.0123,0.005
621224,康县,0.2019,0.665,0.1331,0.2201,0.0102,0.0542,0.0727,0.0648,0.0401,0.0297,0.0587,0.0694,0.0616,0.0745,0.1058,0.1077,0.0708,0.0467,0.0478,0.0376,0.0266,0.0154,0.0057
621225,西和县,0.2401,0.6417,0.1182,0.2209,0.0113,0.058,0.0843,0.0866,0.0555,0.053,0.0682,0.0748,0.0584,0.0516,0.0865,0.0947,0.0648,0.0341,0.0435,0.0341,0.023,0.0119,0.0057
621226,礼县,0.2212,0.6494,0.1294,0.2121,0.01,0.054,0.0783,0.0789,0.0513,0.0469,0.065,0.075,0.0584,0.0562,0.0887,0.1033,0.07,0.0344,0.0466,0.0388,0.0254,0.0128,0.0059
621227,徽县,0.2009,0.6656,0.1336,0.2193,0.011,0.0545,0.0704,0.0649,0.0418,0.0361,0.0633,0.0736,0.0632,0.0601,0.0983,0.1044,0.0782,0.0467,0.0521,0.0365,0.0257,0.0134,0.0059
621228,两当县,0.1663,0.6867,0.147,0.2102,0.0094,0.0521,0.055,0.0499,0.0338,0.0324,0.0604,0.0755,0.0595,0.0728,0.1007,0.1084,0.0872,0.0561,0.0564,0.0401,0.0267,0.0154,0.0084
622901,临夏市,0.2201,0.6807,0.0992,0.2519,0.013,0.0661,0.0784,0.0627,0.0624,0.053,0.0791,0.0902,0.0714,0.0638,0.0806,0.0824,0.0602,0.0377,0.0369,0.0261,0.0189,0.0114,0.0058
622921,临夏县,0.2645,0.6107,0.1248,0.2068,0.0152,0.0757,0.0992,0.0744,0.047,0.0478,0.0706,0.0652,0.0484,0.0512,0.0846,0.0913,0.0646,0.0401,0.0432,0.0349,0.0258,0.0143,0.0065
