CODE,NAME,GHSL_POP,GHSL_POP_DENS,GHSL_URB,GHSL_POP_30,GHSL_POP_23,GHSL_POP_22,GHSL_POP_21,GHSL_POP_13,GHSL_POP_12,GHSL_POP_11,GHSL_POP_10,GHSL_VAR
350627,南靖县,336486,170.7,0.7019,0.2423,0.2022,0.0583,0.1992,0.1518,0.1286,0.0177,0,0.1023
350628,平和县,507882,218.8,0.8065,0.2433,0.3026,0.04,0.2205,0.0862,0.0945,0.0129,0,0.1161
350629,华安县,159144,124,0.6654,0,0.3032,0.0511,0.311,0.1884,0.1226,0.0237,0,0.1852
350681,龙海市,1113614,875.9,0.955,0.7415,0.0897,0.0015,0.1223,0.02,0.0211,0.0039,0,0.1698
350702,延平区,423860,158.9,0.7785,0.4243,0.225,0.0083,0.1209,0.0893,0.1124,0.0197,0,-0.0676
350703,建阳区,282530,83.1,0.6728,0.3247,0.102,0.1172,0.129,0.1225,0.1747,0.0299,0,-0.1711
350721,顺昌县,187446,94.2,0.6237,0,0.3112,0.1438,0.1688,0.1569,0.19,0.0294,0,0.0468
350722,浦城县,297759,87.9,0.6324,0.2106,0.1514,0.0792,0.1912,0.1548,0.184,0.0288,0,0.0001
350723,光泽县,131347,58.4,0.4894,0.4008,0.0404,0,0.0481,0.1941,0.2697,0.0468,0,0.0081
350724,松溪县,123031,117.7,0.6356,0,0.4766,0.0352,0.1239,0.1579,0.1793,0.0271,0,-0.0599
350725,政和县,168288,96,0.6458,0,0.447,0.0458,0.153,0.1684,0.1617,0.0242,0,-0.062
350781,邵武市,269693,93.9,0.7148,0.5958,0.026,0.0239,0.0691,0.1309,0.1294,0.0249,0,-0.0147
350782,武夷山市,228951,81.4,0.6929,0.3817,0.1544,0.037,0.1199,0.153,0.1308,0.0233,0,-0.1183
350783,建瓯市,421479,100.1,0.6162,0.1886,0.2714,0.02,0.1361,0.1659,0.1911,0.0268,0,-0.0299
350802,新罗区,622838,232.1,0.8821,0.68,0.0534,0.0437,0.105,0.0353,0.0691,0.0135,0,-0.2601
350803,永定区,357548,160,0.7001,0.147,0.2395,0.0797,0.2339,0.1335,0.1438,0.0227,0,0.0972
350821,长汀县,385565,123.7,0.7269,0.3181,0.2204,0.0168,0.1716,0.1117,0.1366,0.0247,0,-0.03
350823,上杭县,369013,128.8,0.6572,0.2032,0.1447,0.0834,0.2259,0.1366,0.1757,0.0305,0,-0.0196
350824,武平县,275348,104,0.5995,0.247,0.148,0.0134,0.1911,0.1849,0.1816,0.034,0,-0.0104
350825,连城县,244756,94.5,0.7473,0,0.4739,0.0678,0.2056,0.1098,0.1218,0.0211,0,-0.023
350881,漳平市,238116,80.2,0.6536,0.2973,0.1744,0,0.1819,0.1399,0.177,0.0295,0,-0.0603
350902,蕉城区,520831,365.8,0.9116,0.6119,0.1687,0.0333,0.0976,0.0358,0.0472,0.0055,0,-0.1651
350921,霞浦县,448404,293.9,0.7842,0.3331,0.2573,0.0684,0.1254,0.1114,0.0923,0.0121,0,-0.0578
350922,古田县,319027,134,0.7573,0.3036,0.2743,0.046,0.1333,0.097,0.1178,0.0279,0,-0.0147
350923,屏南县,135475,91,0.5659,0,0.335,0.0653,0.1656,0.2485,0.1557,0.0299,0,-0.031
350924,寿宁县,172870,120.5,0.5819,0,0.4001,0.06,0.1218,0.2538,0.1417,0.0226,0,-0.0286
350925,周宁县,110402,105.9,0.614,0,0.3733,0.0548,0.1859,0.2257,0.1394,0.0208,0,-0.2619
350926,柘荣县,84486,156.2,0.6252,0,0.4774,0,0.1477,0.2635,0.0942,0.0171,0,-0.0914
350981,福安市,707000,397.1,0.8643,0.5732,0.1593,0.0095,0.1223,0.0642,0.0623,0.0092,0,0.1594
350982,福鼎市,496935,333,0.8263,0.3248,0.3997,0.0187,0.0832,0.0916,0.07,0.0121,0,-0.1016
360102,东湖区,584671,10443.6,0.9987,0.991,0,0,0.0077,0,0.0012,0.0001,0,0.3865
360103,西湖区,614463,17567.1,1,1,0,0,0,0,0,0,0,0.2665
360104,青云谱区,492514,13205.6,1,1,0,0,0,0,0,0,0,0.4109
360111,青山湖区,946963,4225.8,0.9971,0.9742,0,0,0.0228,0,0.0027,0.0002,0,-0.2757
360112,新建区,703932,314.1,0.8077,0.271,0.1511,0.1033,0.2822,0.0597,0.1223,0.0104,0,-0.1316
360113,红谷滩区,386063,1986,0.9601,0.8767,0.0508,0,0.0325,0.0094,0.0292,0.0014,0,-0.3053
360121,南昌县,1042424,572.3,0.9004,0.4849,0.0661,0.0324,0.3169,0.017,0.0788,0.0038,0,-0.2823
360123,安义县,189736,286.3,0.7107,0.4659,0,0.0346,0.2102,0.0465,0.2314,0.0115,0,-0.2488
360124,进贤县,741761,381.8,0.7895,0.2108,0.1631,0.059,0.3566,0.0449,0.1595,0.0061,0,0.1959
360202,昌江区,281936,892.3,0.9527,0.7146,0.1073,0.0114,0.1195,0.0049,0.0379,0.0044,0,0.4001
360203,珠山区,187457,1677.5,0.9862,0.9517,0,0,0.0345,0,0.012,0.0018,0,-0.5111
360222,浮梁县,367589,128.5,0.6087,0.108,0.232,0.0736,0.1951,0.1888,0.1773,0.0253,0,0.3111
360281,乐平市,863812,434,0.8533,0.3365,0.2024,0.0532,0.2611,0.0405,0.0979,0.0083,0,0.146
360302,安源区,571513,2689.3,0.9888,0.9095,0.0125,0,0.0668,0,0.0105,0.0007,0,0.0329
360313,湘东区,373085,433.8,0.8719,0.2641,0.1419,0.072,0.3939,0.0457,0.0767,0.0057,0,0.2255
360321,莲花县,246416,228.8,0.8096,0.222,0.1069,0.0893,0.3914,0.0301,0.146,0.0143,0,0.1359
360322,上栗县,481673,658.6,0.9231,0.2316,0.263,0.0235,0.405,0.0037,0.0685,0.0046,0,0.0249
360323,芦溪县,267537,276.9,0.87,0.1932,0.2417,0.0636,0.3715,0.0129,0.1061,0.0111,0,0.0282
